ticker,03-14,03-21,03-28,04-04,04-11,04-18,04-25,05-02,05-09,05-16,05-23,05-30,06-06,06-13,06-20,06-27,07-04
AAPL,10,34,59,58,43,35,64,17,56,27,28,25,16,33,9,19,10
AMD,0,0,0,0,0,9,20,12,59,23,22,22,21,11,0,19,5
AMZN,2,23,32,11,29,33,41,9,23,34,19,10,31,18,21,19,3
BOTZ,0,4,6,2,5,3,3,2,4,2,0,7,2,0,1,0,1
DRIV,4,21,22,22,36,22,14,5,10,5,5,10,6,3,4,8,5
GOOGL,2,22,38,23,37,38,45,0,43,30,29,19,31,12,8,11,6
INTC,0,7,13,17,13,9,40,15,38,21,15,23,7,17,15,16,7
META,13,53,69,91,65,58,85,41,74,47,44,50,38,42,25,46,23
MSFT,0,26,38,44,41,30,60,13,36,38,39,34,40,20,13,17,14
NVDA,1,95,53,61,57,39,33,21,28,59,108,49,21,48,43,16,25
SKYY,1,4,5,4,2,15,16,13,27,20,14,13,15,10,7,3,9
SOXX,3,26,31,31,28,27,38,10,31,22,19,21,12,6,17,8,4
SPY,0,44,36,43,37,63,82,41,81,56,21,53,32,44,25,21,16
TLT,0,2,16,18,7,11,22,22,22,20,44,38,31,19,30,8,1
TSLA,1,11,25,20,25,25,57,9,31,29,14,17,21,16,19,23,8
USO,0,38,59,53,39,24,49,12,26,21,6,12,10,14,4,11,5
UUP,0,3,4,7,4,11,18,16,21,19,9,14,0,12,3,6,1
XLF,2,23,39,27,32,23,31,10,14,7,6,12,4,6,11,3,9
XLK,0,1,0,2,2,0,6,2,6,5,2,3,1,1,0,2,0
XLV,0,7,13,9,6,6,16,13,40,39,30,41,31,33,19,3,11
